Key,Id,English(en),Korean(ko)
UI_OK,,OK,확인
UI_WatchAD,,WATCH AD,광고 보기
UI_Cancel,,CANCEL,취소
UI_Confirm,,CONFIRM,확인
UI_All,,ALL,전체
UI_Reset,,RESET,초기화
UI_TierLabel,,Tier {0},티어 {0}
UIPopupConvertExplorationPoint_Title,,Convert Exploration Points,탐사포인트 전환
UI_Commander,,COMMANDER,지휘관
UI_Fleet,,FLEET,함대
UI_Settings,,SETTINGS,설정
UI_Rank,,RANK,랭크
UI_Exploration,,EXPLORATION,탐사
UI_Achievement,,Achievements,업적

UI_CommanderLevel,,Commander Level,지휘관 레벨
UI_ExpToNextLevel,,EXP to next level : {0},다음 레벨업까지 남은 경험치 : {0}
UI_MaxShipSlots,,Max Ship Slots,최대 함선 슬롯
UI_ShipCountUnit,,ships,척
UI_CommandPower,,Command Power,지휘력
UI_TacticPower,,Tactic Power,전술력
UI_Tactics,,TACTICS,전술

UI_ModuleReinforce,,Module Reinforce,모듈 강화


UI_Account,,ACCOUNT,계정
UI_Bgm,,BGM,배경음
UI_Fx,,FX,효과음
UI_Pvp,,PVP,PVP
UI_MyInfo,,MY INFO,내 정보
UI_RankList,,Rank List,순위표
UITabSettings_NameChange,,CHANGE NAME,이름 변경
UITabSettings_RedeemCode,,REDEEM CODE,코드 입력
UITabSettings_GoogleLink,,Link Google Account,구글 계정 연동
UITabSettings_GoogleUnlink,,Unlink Google Account,구글 연동 해제
UITabSettings_Logout,,LOGOUT,로그아웃
UITabSettings_General,,GENERAL,일반
UITabSettings_Language,,LANGUAGE,언어
UITabSettings_License,,THIRD-PARTY LICENSES,외부 라이센스

tab_ship,,Ship,함선
fleet_ship_count,,Ships,함선 수
exploration_cleared,,Cleared,클리어
pvp_opponent_list,,PVP List,상대방 목록
pvp_refresh_confirm,,Refresh opponent list? ({0} remaining),상대 목록을 갱신하시겠습니까? (잔여 {0}회)
pvp_opponent_info,,Opponent Fleet Power,상대 함대 전력
pvp_battle_result_win,,Victory,승리
pvp_battle_result_lose,,Defeat,패배
pvp_battle_result_score,,Score: {0} <voffset=6>→</voffset> {1} ({2}),점수: {0} <voffset=6>→</voffset> {1} ({2})
pvp_battle_result_rank,,Rank: {0} <voffset=6>→</voffset> {1},순위: {0}위 <voffset=6>→</voffset> {1}위
pvp_blocked_by_zone_run,,Cannot start PVP while an exploration run is in progress.,탐사(존런) 진행 중에는 PVP를 시작할 수 없습니다.
camera_focus_enemy_fleet,,Enemy Fleet,적 함대
camera_focus_center,,Center,중앙
camera_focus_my_fleet,,My Fleet,내 함대
level,,Level,레벨
mineral_amount,,Mineral,광물
ui_rename_char_checking,,Checking...,확인 중...
ui_rename_char_available,,Name is available,사용 가능한 이름입니다
ui_rename_char_duplicate,,Name already taken,이미 사용 중인 이름입니다
ui_rename_char_profanity,,Name not allowed,사용할 수 없는 이름입니다
ui_rename_char_format_err,,English/Korean/Numbers 2-16 chars,한글/영문/숫자 2~16자
UIPopupRedeemCode_Success,,Code redeemed successfully,코드가 정상적으로 적용되었습니다





UIPanelExplorationGrid_BankedPoint,,Banked Exploration Point,적립 탐험 포인트
UIPanelExplorationGrid_OwnedPoint,,Exploration Point,탐험 포인트
UIPanelFleet_AchievementPoint,,Achievement Point,업적포인트
UIPopupRewardCardSelect_Title,,Choose a Reward Card,보상 카드를 선택하세요
UIPopupRewardCardSelect_EscapeTitle,,Escape Point Found,탈출 지점 발견
UIPopupRewardCardSelect_TreasureTitle,,Treasure Reward,트레저 보상
UIPopupRewardCardSelect_RerollButton,,Reroll,다시 뽑기
UIPopupRewardCardSelect_RerollConfirm,,Watch an ad to reroll the reward cards?,광고를 시청하고 보상 카드를 다시 뽑으시겠습니까?
UIPopupRewardCardSelect_RerollConfirmVip,,Reroll the reward cards?\nAs a VIP privilege, no ad is required.,보상 카드를 다시 뽑으시겠습니까?\nVIP 특혜로 광고 시청 없이 바로 다시 뽑습니다.
UIPopupRewardCardSelect_RerollLimitReached,,You have used all reroll chances for today.,오늘 사용할 수 있는 다시 뽑기 횟수를 모두 사용했습니다
UIPanelExplorationGrid_EscapeConfirmMessage,,Escape Reward,탈출 보상
UIPanelExplorationGrid_TreasureHealthHeal,,Fleet health restored by {0}%!,함대 체력을 {0}% 회복했습니다!
UIPanelExplorationGrid_TreasureTacticPowerRestore,,Tactic power restored by {0}%!,전술력을 {0}% 회복했습니다!
